                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1187,                 1.7317,                 1.2665,                 1.1897,                0.83506,                0.76313,                0.79459,                0.60161,                0.83506,                0.76313,                0.78389,                0.53363,                 1.0849,                 1.8865,                 1.7365,                 1.1047,             0.00036298,             0.00036298,             0.00036298
                     25,                 1.0978,                   1.85,                 1.2135,                 1.1144,                0.77721,                0.72821,                 0.7242,                 0.5248,                0.77614,                0.72821,                0.70028,                0.42859,                 1.1793,                 1.9962,                 3.2508,                 1.1277,             0.00037358,             0.00037358,             0.00037358
                     26,                0.98091,                 1.6959,                 1.0781,                 1.0958,                0.77721,                0.72821,                 0.7242,                 0.5248,                0.77614,                0.72821,                0.70028,                0.42859,                 1.1793,                 1.9962,                 3.2508,                 1.1277,             0.00038377,             0.00038377,             0.00038377
                     27,                0.90141,                 1.5084,                 1.1186,                 1.1861,                0.77721,                0.72821,                 0.7242,                 0.5248,                0.77614,                0.72821,                0.70028,                0.42859,                 1.1793,                 1.9962,                 3.2508,                 1.1277,             0.00039358,             0.00039358,             0.00039358
                     28,                0.94199,                  1.787,                 1.8591,                 1.3304,                0.71954,                0.73588,                0.73167,                0.53806,                0.66459,                0.61622,                 0.6781,                0.41586,                 1.1648,                 1.9167,                 1.9486,                 1.1106,             0.00040299,             0.00040299,             0.00040299
                     29,                 1.0218,                 1.7867,                  1.295,                  1.161,                0.71954,                0.73588,                0.73167,                0.53806,                0.66459,                0.61622,                 0.6781,                0.41586,                 1.1648,                 1.9167,                 1.9486,                 1.1106,               0.000412,               0.000412,               0.000412
                     30,                0.96936,                 1.7823,                 1.2882,                 1.2081,                0.67097,                0.65897,                0.76283,                0.51499,                0.84493,                0.57283,                0.68534,                0.43031,                 1.2209,                 2.0737,                 1.6419,                 1.1837,             0.00042061,             0.00042061,             0.00042061
                     31,                 1.1497,                  2.082,                 1.4827,                 1.3803,                0.67097,                0.65897,                0.76283,                0.51499,                0.84493,                0.57283,                0.68534,                0.43031,                 1.2209,                 2.0737,                 1.6419,                 1.1837,             0.00042883,             0.00042883,             0.00042883
                     32,                 1.0847,                 1.8886,                 1.5209,                 1.1867,                0.67097,                0.65897,                0.76283,                0.51499,                0.84493,                0.57283,                0.68534,                0.43031,                 1.2209,                 2.0737,                 1.6419,                 1.1837,             0.00043665,             0.00043665,             0.00043665
                     33,                  1.007,                 1.7885,                 1.2796,                 1.0647,                0.66827,                0.72232,                0.81331,                0.56932,                0.60711,                0.65444,                0.71823,                0.44263,                  1.149,                 2.0238,                 1.6058,                 1.1404,             0.00044408,             0.00044408,             0.00044408
                     34,                0.98471,                 1.6316,                 1.2482,                 1.2206,                0.66827,                0.72232,                0.81331,                0.56932,                0.60711,                0.65444,                0.71823,                0.44263,                  1.149,                 2.0238,                 1.6058,                 1.1404,             0.00045111,             0.00045111,             0.00045111
                     35,                 1.2394,                 2.0468,                 1.5435,                  1.251,                0.66827,                0.72232,                0.81331,                0.56932,                0.60711,                0.65444,                0.71823,                0.44263,                  1.149,                 2.0238,                 1.6058,                 1.1404,             0.00045775,             0.00045775,             0.00045775
                     36,                 1.5312,                 2.1989,                 2.0032,                 1.5383,                0.67416,                 0.7861,                0.80559,                0.54553,                  0.613,                0.67123,                0.65746,                0.39959,                 1.1015,                 2.2393,                 2.8647,                 1.0844,             0.00046398,             0.00046398,             0.00046398
                     37,                 1.0534,                 1.7982,                 1.1986,                 1.1208,                0.67416,                 0.7861,                0.80559,                0.54553,                  0.613,                0.67123,                0.65746,                0.39959,                 1.1015,                 2.2393,                 2.8647,                 1.0844,             0.00046983,             0.00046983,             0.00046983
                     38,                 1.0645,                 1.7347,                 1.3556,                 1.2684,                0.67416,                 0.7861,                0.80559,                0.54553,                  0.613,                0.67123,                0.65746,                0.39959,                 1.1015,                 2.2393,                 2.8647,                 1.0844,             0.00047528,             0.00047528,             0.00047528
                     39,                 1.0629,                  1.821,                 1.0956,                 1.1719,                0.57852,                0.71429,                0.72852,                 0.5051,                0.59074,                0.65628,                0.63696,                0.35813,                 1.0909,                 2.3726,                  2.601,                 1.1099,             0.00048033,             0.00048033,             0.00048033
                     40,                0.96359,                  1.784,                 1.2158,                 1.2346,                0.57852,                0.71429,                0.72852,                 0.5051,                0.59074,                0.65628,                0.63696,                0.35813,                 1.0909,                 2.3726,                  2.601,                 1.1099,             0.00048498,             0.00048498,             0.00048498
                     41,                 1.0131,                 1.5171,                 1.2296,                 1.2486,                0.57852,                0.71429,                0.72852,                 0.5051,                0.59074,                0.65628,                0.63696,                0.35813,                 1.0909,                 2.3726,                  2.601,                 1.1099,             0.00048924,             0.00048924,             0.00048924
                     42,                0.91614,                 1.6049,                 1.2122,                 1.1196,                0.70753,                0.61921,                0.73496,                0.49576,                0.72159,                0.62628,                0.73098,                0.36442,                 1.1506,                 2.6415,                 1.8922,                 1.1484,              0.0004931,              0.0004931,              0.0004931
